endcash,pair,profit,returnstd,sharperatio,startcash
1463208.0941304727,MODN-OMC,0.46320809413047276,18801.58220035457,2.762381336239388,1000000
1074679.0779560981,HUBS-IPG,0.07467907795609813,16466.626090428545,0.22625103519480794,1000000
1345809.6930310207,MODN-SAP,0.3458096930310207,18214.8285832848,1.5811127782897427,1000000
571833.4645549678,IBM-SQNS,-0.4281665354450322,20717.68178282725,-3.393737605246788,1000000
1362114.1752342843,URI-WIT,0.36211417523428424,16940.320146457354,2.58809367941035,1000000
1132168.8537680686,URI-VMW,0.1321688537680686,16804.433634971632,3.1968743390147547,1000000
891627.7534064896,CACI-PANW,-0.10837224659351039,20160.099380116906,-0.4297303051072431,1000000
1409000.983054086,CACI-QTM,0.4090009830540861,39793.67631216413,0.6081750589395143,1000000
780033.1044952169,CACI-HIVE,-0.21996689550478313,18331.16482035309,-1.6416875385669203,1000000
965512.3998490144,CRM-PANW,-0.03448760015098564,11039.080614183737,-0.6583973250855623,1000000
936574.6813014337,CACI-JBL,-0.0634253186985663,16075.11797190293,-0.13741969056053438,1000000
1309832.3915665739,CACI-SAP,0.3098323915665739,11518.2846267069,1.9690422315243836,1000000
1962516.9733843843,CACI-TLRA,0.9625169733843842,23994.54497638609,227.45073599270958,1000000
1274623.5357636875,KFY-TYL,0.2746235357636875,14283.253888708572,1.3458173504124677,1000000
1486194.8348670604,CACI-WUBA,0.48619483486706044,11917.311962121077,0.82474100378054,1000000
681212.0318126375,CACI-RXN,-0.31878796818736255,15002.804360746451,-4.274544623561935,1000000
1279871.2416774656,CACI-QTWO,0.27987124167746563,16556.562872177994,1.8426599364440985,1000000
761065.9504751923,CACI-CRM,-0.2389340495248077,14836.826538092586,-0.6302642518653022,1000000
768758.0041130106,CW-EPAM,-0.2312419958869894,13345.782187610337,-5.694373977246957,1000000
1157034.6969365075,CACI-RNG,0.15703469693650748,16954.99197726912,0.48062225392215163,1000000
522211.76656968275,CACI-RUBI,-0.47778823343031723,22657.556534653464,-0.6052322233108577,1000000
1559245.7221984852,CACI-NSP,0.5592457221984851,21436.57317164436,7.16769894958851,1000000
1196117.3184869941,SFUN-XRX,0.19611731848699412,21203.311848367008,0.6833431223519653,1000000
1204355.0870074558,CACI-ELLI,0.20435508700745575,14574.476833927054,0.44206392677665624,1000000
780817.8806876594,CACI-RHT,-0.21918211931234063,14334.474824569927,-0.43975321038643667,1000000
956403.107838627,CACI-DATA,-0.04359689216137305,16949.49896610209,0.09570520499624346,1000000
1134006.7013676714,QTM-WUBA,0.13400670136767137,21468.977555448004,0.3169393613048881,1000000
995688.241618816,CACI-PAYC,-0.004311758381183957,22468.94983213935,-0.09983392151736149,1000000
1107102.2371729438,CACI-EPAM,0.10710223717294377,14250.060627350003,3.0099789218075554,1000000
