endcash,pair,profit,returnstd,sharperatio,startcash
1114977.4237945224,RENN-WUBA,0.11497742379452242,7548.616220137986,0.5226079227540712,1000000
1000000.0,CACI-DATA,0.0,0.0,,1000000
1000000.0,CACI-QTWO,0.0,0.0,,1000000
858859.3210919178,HHS-MX,-0.14114067890808218,13720.848283208563,-0.8574050764739857,1000000
1000000.0,INFY-MODN,0.0,0.0,,1000000
837745.1880688348,HHS-SAP,-0.16225481193116517,14740.319641019309,-0.27828497304576816,1000000
821380.580048698,SMI-SQNS,-0.178619419951302,11768.168498277868,-0.8258688029274082,1000000
1000000.0,INFY-TSM,0.0,0.0,,1000000
1000000.0,CACI-MSI,0.0,0.0,,1000000
623325.4545142826,HHS-RENN,-0.3766745454857174,27891.164670518418,-0.4327054666210053,1000000
961341.0747056508,HHS-QTM,-0.0386589252943492,19434.2636010588,-0.06434886172961175,1000000
651231.0835280177,RENN-SQNS,-0.34876891647198227,35092.19595469408,-0.5363963925854894,1000000
1000000.0,ETN-XRX,0.0,0.0,,1000000
1000000.0,CACI-TWTR,0.0,0.0,,1000000
1050093.414256987,DATA-MSI,0.05009341425698693,4722.23856803089,0.28363388060186256,1000000
1000000.0,IPHI-SQNS,0.0,0.0,,1000000
1000000.0,MSI-PRO,0.0,0.0,,1000000
913642.8243109584,JBT-RST,-0.08635717568904161,3281.6409949147683,-0.9527517234433646,1000000
1000000.0,PRO-ZEN,0.0,0.0,,1000000
1091491.148614931,ELLI-STM,0.09149114861493092,9800.936660405645,0.5107032589941178,1000000
1000000.0,RXN-VEEV,0.0,0.0,,1000000
1000000.0,LDOS-URI,0.0,0.0,,1000000
1000000.0,CACI-NOK,0.0,0.0,,1000000
1000000.0,NSP-PAYC,0.0,0.0,,1000000
1000000.0,AYR-CAI,0.0,0.0,,1000000
1000000.0,INFY-RST,0.0,0.0,,1000000
1000000.0,ETN-TLRA,0.0,0.0,,1000000
824217.9672482875,ECOM-RXN,-0.17578203275171247,6096.094207158979,-0.827785801126882,1000000
1000000.0,GWRE-PANW,0.0,0.0,,1000000
1034268.0969993847,SSTK-VEEV,0.0342680969993847,18377.669926042814,0.08703869008688195,1000000
1000000.0,ETN-SFUN,0.0,0.0,,1000000
1119986.476647777,EGHT-EVTC,0.11998647664777702,12833.808487713774,0.5303101618652861,1000000
836611.958123081,ATEN-RENN,-0.163388041876919,8605.1724533013,-0.8369400492269128,1000000
1000000.0,CACI-ZEN,0.0,0.0,,1000000
1248485.8862061983,CMCM-IBM,0.24848588620619824,18265.742270716997,0.5400234363066905,1000000
1176964.3781091787,ATHM-JBT,0.17696437810917873,15796.482139241713,0.5872340493845072,1000000
1000000.0,JNPR-PKE,0.0,0.0,,1000000
1028261.0497322984,PAYC-SSTK,0.028261049732298357,11274.430967512795,-0.036804710630522,1000000
884710.0003989707,AMN-EVTC,-0.11528999960102933,9888.945321536894,-0.8911054238182284,1000000
1000000.0,ECOM-JBL,0.0,0.0,,1000000
1000000.0,INFY-UMC,0.0,0.0,,1000000
1087031.3815695206,AAN-SSTK,0.08703138156952057,7653.369283963738,0.4633647762563905,1000000
1000000.0,JNPR-SOL,0.0,0.0,,1000000
1000000.0,ATEN-CLS,0.0,0.0,,1000000
1000000.0,HIVE-SQNS,0.0,0.0,,1000000
816622.0883484938,JBT-VEEV,-0.18337791165150621,7310.182708781695,-0.8227870353924647,1000000
