,Dates,8/9/2017,11/9/2017,12/9/2017,13/9/2017,14/9/2017,15/9/2017,18/9/2017,19/9/2017,20/9/2017,21/9/2017,22/9/2017,25/9/2017,26/9/2017,27/9/2017,28/9/2017,29/9/2017,2/10/2017,3/10/2017,4/10/2017,5/10/2017,6/10/2017,9/10/2017,10/10/2017,11/10/2017,12/10/2017,13/10/2017,16/10/2017,17/10/2017,18/10/2017,19/10/2017,20/10/2017,23/10/2017,24/10/2017,25/10/2017,26/10/2017,27/10/2017,30/10/2017,31/10/2017,1/11/2017,2/11/2017,3/11/2017,6/11/2017,7/11/2017,8/11/2017,9/11/2017,10/11/2017,13/11/2017,14/11/2017,15/11/2017,16/11/2017,17/11/2017,20/11/2017,21/11/2017,22/11/2017,23/11/2017,24/11/2017,27/11/2017,28/11/2017,29/11/2017,30/11/2017,1/12/2017,4/12/2017,5/12/2017,6/12/2017,7/12/2017,8/12/2017,11/12/2017,12/12/2017,13/12/2017,14/12/2017,15/12/2017,18/12/2017,19/12/2017,20/12/2017,21/12/2017,22/12/2017,25/12/2017,26/12/2017,27/12/2017,28/12/2017,29/12/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,15/1/2018,16/1/2018,17/1/2018,18/1/2018,19/1/2018,22/1/2018,23/1/2018,24/1/2018,25/1/2018,26/1/2018,29/1/2018,30/1/2018,31/1/2018,1/2/2018,2/2/2018,5/2/2018,6/2/2018,7/2/2018,8/2/2018,9/2/2018,12/2/2018,13/2/2018,14/2/2018,15/2/2018,16/2/2018,19/2/2018,20/2/2018,21/2/2018,22/2/2018,23/2/2018,26/2/2018,27/2/2018,28/2/2018,1/3/2018,2/3/2018,5/3/2018,6/3/2018,7/3/2018,8/3/2018,9/3/2018,12/3/2018,13/3/2018,14/3/2018,15/3/2018,16/3/2018,19/3/2018,20/3/2018,21/3/2018,22/3/2018,23/3/2018,26/3/2018,27/3/2018,28/3/2018,29/3/2018,30/3/2018,2/4/2018,3/4/2018,4/4/2018,5/4/2018,6/4/2018,9/4/2018,10/4/2018,11/4/2018,12/4/2018,13/4/2018,16/4/2018,17/4/2018,18/4/2018,19/4/2018,20/4/2018,23/4/2018,24/4/2018,25/4/2018,26/4/2018,27/4/2018,30/4/2018,1/5/2018,2/5/2018,3/5/2018,4/5/2018,7/5/2018,8/5/2018,9/5/2018,10/5/2018,11/5/2018,14/5/2018,15/5/2018,16/5/2018,17/5/2018,18/5/2018,21/5/2018,22/5/2018,23/5/2018,24/5/2018,25/5/2018,28/5/2018,29/5/2018,30/5/2018,31/5/2018,1/6/2018,4/6/2018,5/6/2018,6/6/2018,7/6/2018,8/6/2018,11/6/2018,12/6/2018,13/6/2018,14/6/2018,15/6/2018,18/6/2018,19/6/2018,20/6/2018,21/6/2018,22/6/2018,25/6/2018,26/6/2018,27/6/2018,28/6/2018,29/6/2018,2/7/2018,3/7/2018,4/7/2018,5/7/2018,6/7/2018,9/7/2018,10/7/2018,11/7/2018,12/7/2018,13/7/2018,16/7/2018,17/7/2018,18/7/2018,19/7/2018,20/7/2018,23/7/2018,24/7/2018,25/7/2018,26/7/2018,27/7/2018,30/7/2018,31/7/2018,1/8/2018,2/8/2018,3/8/2018,6/8/2018,7/8/2018,8/8/2018,9/8/2018,10/8/2018,13/8/2018,14/8/2018,15/8/2018,16/8/2018,17/8/2018,20/8/2018,21/8/2018,22/8/2018,23/8/2018,24/8/2018,27/8/2018,28/8/2018,29/8/2018,30/8/2018,31/8/2018,3/9/2018,4/9/2018,5/9/2018,6/9/2018,7/9/2018
700 HK 10/30/18 C245 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
700 HK 10/30/18 C250 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.59,65.59
700 HK 10/30/18 C255 EQUITY,PX_LAST,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.97,96.68,96.47,105.24,104.83,99.82,106.78,111.17,106.55,103.14,85.33,78.55,84.26,70.58,60.81,60.81
700 HK 10/30/18 C260 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91.02,94.12,98.08,105.05,113.62,111.02,102,89.68,77.27,67,78.03,91.72,91.5,100.26,99.85,94.84,101.8,106.18,101.57,98.16,80.49,73.6,79.3,65.69,56.1,56.1
700 HK 10/30/18 C265 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81.34,86.11,89.18,93.13,100.08,108.65,106.05,97.04,84.78,72.45,62.17,73.13,86.76,86.54,95.29,94.87,89.87,96.82,101.2,96.59,93.18,75.64,68.68,74.36,62.49,51.5,51.5
700 HK 10/30/18 C270 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86.3,76.48,81.24,84.27,88.19,95.13,103.68,101.09,92.1,79.9,67.69,57.4,68.26,81.82,81.6,90.32,89.9,84.9,91.84,96.22,91.61,88.2,71.56,63.8,69.44,56.09,47.01,47.01
700 HK 10/30/18 C275 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101.52,106.1,101.11,99.3,93.21,81.61,81.41,71.66,76.4,79.38,83.28,90.18,98.72,96.15,87.17,75.06,63,52.72,63.44,76.91,76.69,85.36,84.94,79.95,86.87,91.24,86.64,83.23,66.78,58.97,64.56,51.41,42.67,42.67
700 HK 10/30/18 C280 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115.24,115.24,112.23,104.72,107.28,109.6,117.54,108.37,101,101.56,102.52,102.85,97.27,99.43,97.02,98,92.4,96.59,101.9,96.18,94.38,88.63,76.76,76.57,66.9,71.62,74.54,78.39,85.26,93.77,91.22,82.27,69.42,58.4,48.15,58.69,72.03,71.8,80.42,79.99,75.02,81.91,86.27,81.68,78.28,61.69,54.21,59.73,46.84,38.51,38.51
700 HK 10/30/18 C285 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110.32,110.32,107.32,99.83,102.38,104.58,112.6,103.45,96.11,96.66,97.61,97.93,92.36,94.51,92.1,93.07,87.49,91.68,96.52,91.28,89.48,83.77,71.96,71.77,62.22,66.91,69.75,73.55,80.36,88.84,86.31,77.41,64.56,53.9,43.72,54.02,67.19,66.96,75.5,75.07,70.11,76.96,81.31,76.73,73.34,56.54,49.54,54.97,42.41,34.53,34.53
700 HK 10/30/18 C290 EQUITY,PX_LAST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,105.41,105.41,102.43,94.97,97.51,99.81,107.69,98.56,91.25,91.79,92.72,93.02,87.47,89.61,87.2,88.17,82.61,86.79,91.34,86.41,84.62,78.95,67.22,67.04,57.63,62.27,65.02,68.76,75.5,83.93,81.43,72.59,60.94,49.54,39.44,49.46,62.42,62.18,70.61,70.18,65.25,72.04,76.37,71.81,68.43,51.88,44.99,50.3,38.14,30.77,33.55
