DateTime,5 HK Equity,1299 HK Equity,700 HK Equity,939 HK Equity,941 HK Equity,1398 HK Equity,2318 HK Equity,3988 HK Equity,388 HK Equity,883 HK Equity,1 HK Equity,386 HK Equity,2 HK Equity,823 HK Equity,11 HK Equity,16 HK Equity,3 HK Equity,1113 HK Equity,2388 HK Equity,2628 HK Equity,27 HK Equity,857 HK Equity,688 HK Equity,1093 HK Equity,1928 HK Equity,2007 HK Equity,175 HK Equity,6 HK Equity,1109 HK Equity,762 HK Equity
9/9/2013,85.65,35,78.08,6.01,86.1,5.39,29.425,3.5,125.8,16.2,65.205,6.16,62.8,34.55,124.6,103,11.363,-1,25.25,20.8,50.95,8.81,22.824,4.04,46.4,4.818,4.1,67.85,21.8,12.18
10/9/2013,85.9,35.05,79.8,6.1,87.85,5.49,29.85,3.56,127,16.28,65.205,6.19,62.5,33.95,125.7,103.1,11.338,-1,25.35,21.1,52.9,8.83,23.516,4.06,47.7,4.875,4.11,67.3,22.5,12.32
11/9/2013,85.55,35.25,80.44,6.06,87.15,5.49,29.75,3.53,126.9,16.22,65.435,6.13,62.8,34.7,126,102.6,11.226,-1,25.6,21.1,52.6,8.6,23.565,4.1,48.15,4.846,4.09,66.55,22.5,12.5
12/9/2013,85.7,34.95,82.56,6.09,86.85,5.48,29.875,3.58,126.6,16.06,66.069,6.09,62.65,34.55,125.9,103.1,11.313,-1,24.85,21.25,53.3,8.69,23.714,3.84,47.05,4.715,4.1,66.25,22.5,12.68
13/9/2013,85.95,35.15,82.16,6.04,87.6,5.46,29.725,3.53,127.8,16.08,65.205,6.06,63.1,35.15,126.5,101.7,11.425,-1,24.85,21.2,52.35,8.67,23.368,3.9,46.25,4.621,4.04,66.05,22.45,12.62
16/9/2013,87.1,36.05,84.24,6.14,88.3,5.54,30.25,3.6,129.2,16.2,66.414,6.19,63.4,36.1,127,102.6,11.4,-1,24.9,21.45,55.35,8.82,23.615,3.99,47.75,4.771,4.13,66.9,22.8,12.68
17/9/2013,86.2,35.7,83.76,6.13,88.25,5.54,30.025,3.6,129,16.04,67.048,6.18,63.5,36.45,126.7,102.6,11.425,-1,24.9,21.05,54.15,8.76,23.664,3.99,47.65,4.781,4.17,67.7,23.2,12.66
18/9/2013,86.2,36.4,80.48,6.11,87.35,5.49,29.85,3.6,129.5,15.98,69.122,6.13,63.65,36.25,127.2,103.5,11.437,-1,24.85,20.85,53.65,8.74,23.516,3.91,47.55,4.687,4.1,67.65,23.15,12.7
19/9/2013,87.95,37.1,82.04,6.21,87.95,5.59,30.45,3.65,130.4,16.08,70.735,6.25,64.05,37.85,127.6,108.7,11.487,-1,25.2,21.2,55.15,8.93,23.763,3.84,48.7,4.734,4.09,68,23.45,12.84
20/9/2013,87.95,37.1,82.04,6.21,87.95,5.59,30.45,3.65,130.4,16.08,70.735,6.25,64.05,37.85,127.6,108.7,11.487,-1,25.2,21.2,55.15,8.93,23.763,3.84,48.7,4.734,4.09,68,23.45,12.84
