"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"APC","Anadarko Petroleum Corporation","47.15","23776844529.3","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",
"ANDX","Andeavor Logistics LP","36.79","9031358089.13","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","10.76","3314240657.56","n/a","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","31.57","11982192777.94","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"ARCH","Arch Coal, Inc.","85.56","1608476664","n/a","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.45","267969379.65","n/a","n/a","Energy","Electric Utilities: Central","https://www.nasdaq.com/symbol/at",
"BHGE","Baker Hughes, a GE company","23.24","25562410500.2","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/bhge",
"BAS","Basic Energy Services, Inc.","5.57","147945460.68","n/a","2005","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","1.95","1080378327.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bte",
"BXE","Bellatrix Exploration Ltd","0.485","39240974.125","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bxe",
"BBL","BHP Group Plc","41.08","103885659586.8","n/a","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/bbl",
"BSM","Black Stone Minerals, L.P.","16.02","3280800697.02","n/a","2015","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bsm",
"BE","Bloom Energy Corporation","12.15","1329410025.45","n/a","2018","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/be",
"BCEI","Bonanza Creek Energy, Inc.","23.51","482988029.4","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bcei",
"BPMP","BP Midstream Partners LP","16.46","1724202612.2","n/a","2017","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bpmp",
"BP","BP p.l.c.","40.42","136489801194.16","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","25.5","545700000","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bpt",
