"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DDD","3D Systems Corporation","9.92","1132670986.56","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"WUBA","58.com Inc.","51.78","7670625303.48","n/a","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","17.49","1668041955.69","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"ATEN","A10 Networks, Inc.","6.01","443528486.17","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","42.76","3103448150.76","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ATU","Actuant Corporation","20.56","1255472056.96","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"AER","Aercap Holdings N.V.","38.71","5688863290.67","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"HIVE","Aerohive Networks, Inc.","3.25","180555115","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",
"AL","Air Lease Corporation","29.65","3289193159.3","n/a","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","17.53","1336265883.75","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",
"AYX","Alteryx, Inc.","57.33","3519099887.94","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ayx",
"AMBR","Amber Road, Inc.","8","222337872","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ambr",
"AMN","AMN Healthcare Services Inc","54.41","2550081187.57","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/amn",
"PLAN","Anaplan, Inc.","24","2999140632","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/plan",
"APY","Apergy Corporation","28.25","2184878447.5","n/a","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/apy",
"AQ","Aquantia Corp.","8.26","287898690.38","n/a","2017","Technology","Semiconductors","https://www.nasdaq.com/symbol/aq",
"ANET","Arista Networks, Inc.","199.6","15055289080","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/anet",
"ASX","ASE Technology Holding Co., Ltd.","3.55","7412603450.5","n/a","2018","Technology","Semiconductors","https://www.nasdaq.com/symbol/asx",
"ASGN","ASGN Incorporated","53.15","2789153985.05","n/a","1992","Technology","Professional Services","https://www.nasdaq.com/symbol/asgn",
"AUO","AU Optronics Corp","3.81","3666837386.91","n/a","2002","Technology","Semiconductors","https://www.nasdaq.com/symbol/auo",
"ATHM","Autohome Inc.","74.47","8723479546.32","n/a","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/athm",
"AVLR","Avalara, Inc.","31.45","2091584986.15","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/avlr",
"BHE","Benchmark Electronics, Inc.","20.65","902618851.4","n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/bhe",
"BITA","Bitauto Holdings Limited","20","1454799320","n/a","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/bita",
"BKI","Black Knight, Inc.","44.13","6593005804.29","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bki",
"BB","BlackBerry Limited","6.88","3719184875.36","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bb",
